,pts/rodinia-1.3.2,pts/namd-1.4.0,pts/kvazaar-1.2.0,pts/x264-2.7.0,pts/x265-1.5.0,pts/stockfish-1.7.0,pts/asmfish-1.1.2,pts/build-linux-kernel-1.17.1,pts/povray-1.2.1,pts/radiance-1.0.0,pts/openssl-3.6.0,pts/ctx-clock-1.0.0,pts/sysbench-1.1.0
pts/rodinia-1.3.2,1.000000,-0.814456,0.058893,-0.496209,-0.990387,-0.765107,-0.366603,0.637403,0.536097,0.818031,0.557298,-0.051515,-0.963375
pts/namd-1.4.0,-0.814456,1.000000,-0.625552,0.856463,0.836334,0.964527,0.809170,-0.706060,-0.679658,-0.429425,-0.831772,-0.514975,0.879947
pts/kvazaar-1.2.0,0.058893,-0.625552,1.000000,-0.833865,-0.099669,-0.611148,-0.920192,0.305805,0.393629,-0.388478,0.719694,0.973105,-0.204397
pts/x264-2.7.0,-0.496209,0.856463,-0.833865,1.000000,0.482243,0.738334,0.983349,-0.299923,-0.312441,0.067150,-0.981075,-0.828082,0.525105
pts/x265-1.5.0,-0.990387,0.836334,-0.099669,0.482243,1.000000,0.821493,0.369320,-0.737713,-0.646567,-0.841344,-0.519102,0.037307,0.989760
pts/stockfish-1.7.0,-0.765107,0.964527,-0.611148,0.738334,0.821493,1.000000,0.719215,-0.860345,-0.848352,-0.491759,-0.674821,-0.453189,0.889190
pts/asmfish-1.1.2,-0.366603,0.809170,-0.920192,0.983349,0.369320,0.719215,1.000000,-0.305745,-0.343743,0.181688,-0.932976,-0.909053,0.433724
pts/build-linux-kernel-1.17.1,0.637403,-0.706060,0.305805,-0.299923,-0.737713,-0.860345,-0.305745,1.000000,0.989650,0.673584,0.204519,0.083389,-0.815332
pts/povray-1.2.1,0.536097,-0.679658,0.393629,-0.312441,-0.646567,-0.848352,-0.343743,0.989650,1.000000,0.564601,0.194061,0.172336,-0.740608
pts/radiance-1.0.0,0.818031,-0.429425,-0.388478,0.067150,-0.841344,-0.491759,0.181688,0.673584,0.564601,1.000000,-0.018659,-0.545655,-0.806908
pts/openssl-3.6.0,0.557298,-0.831772,0.719694,-0.981075,-0.519102,-0.674821,-0.932976,0.204519,0.194061,-0.018659,1.000000,0.738420,-0.534716
pts/ctx-clock-1.0.0,-0.051515,-0.514975,0.973105,-0.828082,0.037307,-0.453189,-0.909053,0.083389,0.172336,-0.545655,0.738420,1.000000,-0.049619
pts/sysbench-1.1.0,-0.963375,0.879947,-0.204397,0.525105,0.989760,0.889190,0.433724,-0.815332,-0.740608,-0.806908,-0.534716,-0.049619,1.000000
