expert_id,e_001,e_002,e_003,e_004,e_005,e_006,e_007,e_008,e_009,e_010,e_011,e_012
e_001,1.000000,0.665902,0.743903,0.114367,0.182837,0.273326,0.709341,0.275046,0.732401,0.484780,0.419725,0.344401
e_002,0.665902,1.000000,0.733009,0.234163,0.273029,0.365873,0.589851,0.437454,0.713631,0.640387,0.560282,0.610541
e_003,0.743903,0.733009,1.000000,0.406607,0.264890,0.310012,0.625193,0.448149,0.763804,0.702882,0.774901,0.739008
e_004,0.114367,0.234163,0.406607,1.000000,0.640070,0.415898,0.110483,-0.100056,0.096273,0.371262,0.435164,0.354977
e_005,0.182837,0.273029,0.264890,0.640070,1.000000,0.397224,0.113939,-0.007849,0.110007,0.274084,0.280070,0.207568
e_006,0.273326,0.365873,0.310012,0.415898,0.397224,1.000000,0.257511,0.210071,0.117585,0.261931,0.292605,0.286500
e_007,0.709341,0.589851,0.625193,0.110483,0.113939,0.257511,1.000000,0.534952,0.748220,0.538350,0.307556,0.398302
e_008,0.275046,0.437454,0.448149,-0.100056,-0.007849,0.210071,0.534952,1.000000,0.499964,0.360990,0.473353,0.565817
e_009,0.732401,0.713631,0.763804,0.096273,0.110007,0.117585,0.748220,0.499964,1.000000,0.754721,0.626503,0.572960
e_010,0.484780,0.640387,0.702882,0.371262,0.274084,0.261931,0.538350,0.360990,0.754721,1.000000,0.750203,0.630001
e_011,0.419725,0.560282,0.774901,0.435164,0.280070,0.292605,0.307556,0.473353,0.626503,0.750203,1.000000,0.819092
e_012,0.344401,0.610541,0.739008,0.354977,0.207568,0.286500,0.398302,0.565817,0.572960,0.630001,0.819092,1.000000
