test_id,dhry2reg,whetstone-double,execl,fstime,fsbuffer,fsdisk,pipe,context1,spawn,syscall,shell1,shell8
dhry2reg,1.000000,0.997584,0.813960,0.950554,0.940068,0.963366,0.995391,0.964234,0.565192,0.989003,0.977596,0.944456
whetstone-double,0.997584,1.000000,0.833357,0.962358,0.952527,0.973382,0.991199,0.952093,0.530576,0.982351,0.982573,0.951693
execl,0.813960,0.833357,1.000000,0.902760,0.918559,0.881583,0.802835,0.646260,0.194425,0.793528,0.784917,0.713664
fstime,0.950554,0.962358,0.902760,1.000000,0.998514,0.996535,0.940831,0.848228,0.295644,0.927133,0.965801,0.929658
fsbuffer,0.940068,0.952527,0.918559,0.998514,1.000000,0.992763,0.931762,0.829109,0.275654,0.919123,0.952247,0.910302
fsdisk,0.963366,0.973382,0.881583,0.996535,0.992763,1.000000,0.953444,0.874979,0.330948,0.939641,0.979819,0.948460
pipe,0.995391,0.991199,0.802835,0.940831,0.931762,0.953444,1.000000,0.970503,0.588077,0.998233,0.965922,0.923905
context1,0.964234,0.952093,0.646260,0.848228,0.829109,0.874979,0.970503,1.000000,0.705913,0.970674,0.933340,0.910952
spawn,0.565192,0.530576,0.194425,0.295644,0.275654,0.330948,0.588077,0.705913,1.000000,0.611096,0.425411,0.391452
syscall,0.989003,0.982351,0.793528,0.927133,0.919123,0.939641,0.998233,0.970674,0.611096,1.000000,0.951098,0.902792
shell1,0.977596,0.982573,0.784917,0.965801,0.952247,0.979819,0.965922,0.933340,0.425411,0.951098,1.000000,0.988549
shell8,0.944456,0.951693,0.713664,0.929658,0.910302,0.948460,0.923905,0.910952,0.391452,0.902792,0.988549,1.000000
