test_id,dhry2reg,whetstone-double,execl,fstime,fsbuffer,fsdisk,pipe,context1,spawn,syscall,shell1,shell8
dhry2reg,1.000000,0.946154,0.910000,0.860000,0.849231,0.862308,0.969231,0.675515,0.417692,0.970956,0.854615,0.383077
whetstone-double,0.946154,1.000000,0.956154,0.901538,0.906154,0.926923,0.941538,0.560108,0.253077,0.934410,0.924615,0.520000
execl,0.910000,0.956154,1.000000,0.943077,0.943077,0.950000,0.916923,0.489710,0.145385,0.907482,0.960769,0.610769
fstime,0.860000,0.901538,0.943077,1.000000,0.987692,0.964615,0.875385,0.389690,-0.005385,0.867859,0.953077,0.683077
fsbuffer,0.849231,0.906154,0.943077,0.987692,1.000000,0.971538,0.874615,0.392768,0.001538,0.862089,0.967692,0.676154
fsdisk,0.862308,0.926923,0.950000,0.964615,0.971538,1.000000,0.873846,0.390460,0.009231,0.875938,0.983077,0.690769
pipe,0.969231,0.941538,0.916923,0.875385,0.874615,0.873846,1.000000,0.677053,0.386154,0.964416,0.873846,0.390769
context1,0.675515,0.560108,0.489710,0.389690,0.392768,0.390460,0.677053,1.000000,0.859781,0.682570,0.387382,0.109252
spawn,0.417692,0.253077,0.145385,-0.005385,0.001538,0.009231,0.386154,0.859781,1.000000,0.389690,0.023077,-0.280769
syscall,0.970956,0.934410,0.907482,0.867859,0.862089,0.875938,0.964416,0.682570,0.389690,1.000000,0.873245,0.390075
shell1,0.854615,0.924615,0.960769,0.953077,0.967692,0.983077,0.873846,0.387382,0.023077,0.873245,1.000000,0.689231
shell8,0.383077,0.520000,0.610769,0.683077,0.676154,0.690769,0.390769,0.109252,-0.280769,0.390075,0.689231,1.000000
